mol_type,method,heads,learning_rate,tie,normalization,contigs,real,predicted,auc,precision,recall,f1,accuracy
plasmid,1_h_lr_0.001_tie_False_norm_layer,1,0.001,False,layer,38272,5365.0,6606.0,0.9420677361853832,0.5641025641025641,0.8589511754068716,0.6206896551724138,0.8627568493150686
plasmid,1_h_lr_0.001_tie_True_norm_None,1,0.001,True,None,38272,5365.0,4975.0,0.9670994669838332,0.8518518518518519,0.8271059782608696,0.7868852459016394,0.9030851777330652
plasmid,1_h_lr_0.001_tie_True_norm_batch,1,0.001,True,batch,38272,5365.0,4897.0,0.9655101762249392,0.8518518518518519,0.8571428571428571,0.76,0.9155778041744442
plasmid,1_h_lr_0.001_tie_True_norm_layer,1,0.001,True,layer,38272,5365.0,5080.0,0.9485433277253554,0.9310344827586208,0.7825168918918919,0.7677195685670262,0.9203165255796836
plasmid,1_h_lr_0.003_tie_False_norm_None,1,0.003,False,None,38272,5365.0,5138.0,0.916919225833408,0.8888888888888888,0.6497863247863248,0.6515190415062045,0.8784788557856147
plasmid,1_h_lr_0.003_tie_False_norm_batch,1,0.003,False,batch,38272,5365.0,4921.0,0.955139084400448,0.8695652173913043,0.8053613053613053,0.7692307692307692,0.910218253968254
plasmid,1_h_lr_0.003_tie_False_norm_layer,1,0.003,False,layer,38272,5365.0,5443.0,0.954364966083493,0.8021978021978022,0.8333333333333334,0.7272727272727273,0.9031060488259992
plasmid,1_h_lr_0.003_tie_True_norm_None,1,0.003,True,None,38272,5365.0,5257.0,0.967894579215334,0.8571428571428571,0.8804761904761904,0.8,0.9093647316538882
plasmid,1_h_lr_0.003_tie_True_norm_batch,1,0.003,True,batch,38272,5365.0,6105.0,0.9718274652504588,0.8220046082949308,0.9095454545454544,0.7741935483870968,0.9090909090909092
plasmid,1_h_lr_0.003_tie_True_norm_layer,1,0.003,True,layer,38272,5365.0,5430.0,0.9618298368298368,0.9210526315789472,0.8307291666666667,0.8181818181818181,0.9293523469994058
plasmid,2_h_lr_0.001_tie_False_norm_None,2,0.001,False,None,38272,5365.0,5177.0,0.969994962794502,0.8611111111111112,0.8181818181818182,0.7474747474747475,0.8964827727645611
plasmid,2_h_lr_0.001_tie_False_norm_batch,2,0.001,False,batch,38272,5365.0,6168.0,0.970425407925408,0.7595180722891566,0.8973684210526316,0.7307692307692308,0.8823529411764706
plasmid,2_h_lr_0.001_tie_False_norm_layer,2,0.001,False,layer,38272,5365.0,5416.0,0.9405376820149548,0.8571428571428571,0.8132267441860466,0.7000000000000001,0.8938350805820685
plasmid,2_h_lr_0.001_tie_True_norm_None,2,0.001,True,None,38272,5365.0,5128.0,0.9458680004022936,0.8620689655172413,0.7830065359477124,0.75,0.8976426799007444
plasmid,2_h_lr_0.001_tie_True_norm_batch,2,0.001,True,batch,38272,5365.0,4812.0,0.9326899851356374,0.8963480128893663,0.7514705882352941,0.7100840336134453,0.8920196916699055
plasmid,2_h_lr_0.001_tie_True_norm_layer,2,0.001,True,layer,38272,5365.0,5804.0,0.9488878583495676,0.8202247191011236,0.8346994535519126,0.7228937077852826,0.8926651305683564
plasmid,2_h_lr_0.003_tie_False_norm_None,2,0.003,False,None,38272,5365.0,6100.0,0.8175619999275914,0.5,0.5299532437171245,0.4893617021276596,0.8206145251396648
plasmid,2_h_lr_0.003_tie_False_norm_batch,2,0.003,False,batch,38272,5365.0,6744.0,0.827994676131322,0.4696969696969697,0.6363636363636364,0.4615384615384615,0.8279345175896899
plasmid,2_h_lr_0.003_tie_False_norm_layer,2,0.003,False,layer,38272,5365.0,5581.0,0.960072056116247,0.8333333333333334,0.7986486486486486,0.7133292757151551,0.9030017921146952
plasmid,2_h_lr_0.003_tie_True_norm_None,2,0.003,True,None,38272,5365.0,5658.0,0.987332130104021,0.8797590361445783,0.9145454545454546,0.8181818181818181,0.9302231237322516
plasmid,2_h_lr_0.003_tie_True_norm_batch,2,0.003,True,batch,38272,5365.0,5960.0,0.9739603497225447,0.8333333333333334,0.9215384615384616,0.8,0.9211501673840268
plasmid,2_h_lr_0.003_tie_True_norm_layer,2,0.003,True,layer,38272,5365.0,5201.0,0.9716132005899704,0.8912529550827423,0.7692307692307693,0.7161172161172161,0.9126984126984128
plasmid,3_h_lr_0.001_tie_False_norm_None,3,0.001,False,None,38272,5365.0,5473.0,0.9710101001351306,0.8426966292134831,0.8720238095238095,0.7777777777777778,0.9087121212121212
plasmid,3_h_lr_0.001_tie_False_norm_batch,3,0.001,False,batch,38272,5365.0,5269.0,0.9751847290640394,0.88,0.854769782189137,0.8092515592515593,0.919529598308668
plasmid,3_h_lr_0.001_tie_False_norm_layer,3,0.001,False,layer,38272,5365.0,5680.0,0.9522235576923076,0.7343137254901961,0.75,0.6938775510204083,0.8917290784760664
plasmid,3_h_lr_0.001_tie_True_norm_None,3,0.001,True,None,38272,5365.0,5215.0,0.9681036218141422,0.8588039867109634,0.8215852130325814,0.7605633802816901,0.9069767441860463
plasmid,3_h_lr_0.001_tie_True_norm_batch,3,0.001,True,batch,38272,5365.0,4946.0,0.9583164481450624,0.8846153846153846,0.7857142857142857,0.7567567567567567,0.9052496798975672
plasmid,3_h_lr_0.001_tie_True_norm_layer,3,0.001,True,layer,38272,5365.0,6039.0,0.9753455028575244,0.8095238095238095,0.9224759615384616,0.759493670886076,0.9095454545454544
plasmid,3_h_lr_0.003_tie_False_norm_None,3,0.003,False,None,38272,5365.0,5497.0,0.8299369747899159,0.5454545454545454,0.5,0.4225352112676056,0.8415071770334928
plasmid,3_h_lr_0.003_tie_False_norm_batch,3,0.003,False,batch,38272,5365.0,5331.0,0.8139609736952942,0.5741758241758241,0.4342857142857143,0.4691358024691358,0.8396464646464646
plasmid,3_h_lr_0.003_tie_False_norm_layer,3,0.003,False,layer,38272,5365.0,6198.0,0.9585305122614336,0.759493670886076,0.8430769230769231,0.7171428571428571,0.8926418439716313
plasmid,3_h_lr_0.003_tie_True_norm_None,3,0.003,True,None,38272,5365.0,4986.0,0.9737099696119682,0.8660256410256411,0.8627450980392157,0.7843137254901961,0.9220647773279352
plasmid,3_h_lr_0.003_tie_True_norm_batch,3,0.003,True,batch,38272,5365.0,5115.0,0.9669835372960373,0.8725490196078431,0.8796551724137931,0.7975903614457831,0.931971153846154
plasmid,3_h_lr_0.003_tie_True_norm_layer,3,0.003,True,layer,38272,5365.0,5924.0,0.9828193736088472,0.8081574884199691,0.8973684210526316,0.7773406766325728,0.9187617850408548
